Tên phim,ID phim,Đạo diễn,Diễn viên chính,Thể loại phim,Thời lượng (phút),Độ phổ biến,Năm phát hành,Link Poster,Link Backdrop,Điểm đánh giá,Mô tả
Elvis & Anabelle,19554,Will Geiger,"Blake Lively, Max Minghella, Joe Mantegna, Mary Steenburgen, Keith Carradine","Phim Chính Kịch, Phim Lãng Mạn",106,13.7041,2007,https://image.tmdb.org/t/p/w500/eYucJWWJiTQVDwwbjhHIu1aDp5C.jpg,https://image.tmdb.org/t/p/original/9cy44nYsWmNblqcqCuPXZc74FuU.jpg,6.8,
Thần Lorax,73723,Chris Renaud,"Danny DeVito, Ed Helms, Zac Efron, Rob Riggle, Taylor Swift","Phim Hoạt Hình, Phim Gia Đình",86,14.3311,2012,https://image.tmdb.org/t/p/w500/dGFVT19gg2CGQ2Kydd9Hh6DrChP.jpg,https://image.tmdb.org/t/p/original/71FjlP0qZPc1iymcHf8u5vXfH50.jpg,6.5,"Trong bản chuyển thể từ tác phẩm kinh điển của Dr. Seuss này, Thần Lorax sống trong rừng phải ngăn anh chàng thiển cận Once-ler không phá hoại môi trường để kiếm lợi."
Biệt Đội Big Hero 6,177572,Don Hall,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung","Phim Phiêu Lưu, Phim Gia Đình, Phim Hoạt Hình, Phim Hành Động, Phim Hài",102,13.8207,2014,https://image.tmdb.org/t/p/w500/nqq1B0c5ylhJZ0m5CdkonHNE2zZ.jpg,https://image.tmdb.org/t/p/original/ie6jboaxL8WYJO3TWt9JZdvnHzL.jpg,7.727,"Câu chuyện diễn ra tại một thành phố hư cấu có tên là San Fransokyo (tên viết tắt của 2 thành phố San Francisco của Mỹ và Tokyo của Nhật Bản). Đó là nơi ở của cậu bé thần đồng Hiro Hamada cùng với một người bạn hết sức đặc biệt là Baymax. Baymax trông giống như một người tuyết màu trắng, đây là phát minh của Tadashi – anh trai Hiro. Baymax được tạo ra nhằm mục đích phục vụ cho sức khỏe của con người. Với sự thông minh của Hiro, cậu nhóc đã chế tạo ra các công cụ chiến đấu cho biệt đội siêu anh hùng với sự đồng hành của 5 thành viên còn lại là Baymax, Wasabi, Go Go, Fred và Honey Lemon. Họ cùng điều tra về kẻ giấu mặt “kabuki” đã đánh cắp phát minh “bọ siêu nhỏ” của Hiro và ngăn chặn 1 thảm họa đối với thành phố."
Vết thương của mẹ,386591,Ozan Açıktan,"Ozan Güven, Meryem Uzerli, Belçim Bilgin, Okan Yalabık, Bora Akkaş","Phim Chính Kịch, Phim Chiến Tranh, Phim Bí Ẩn",115,14.0295,2016,https://image.tmdb.org/t/p/w500/jO6TBIcoLLdGXOaWA4kHkwyxgHz.jpg,https://image.tmdb.org/t/p/original/nQoTSysJmu9065TylBUeXYf2qHh.jpg,6.7,
The Outing,26675,Tom Daley,"Deborah Winters, James Huston, Andra St. Ivanyi, Scott Bankston, Red Mitchell",Phim Kinh Dị,87,13.4045,1987,https://image.tmdb.org/t/p/w500/jPVanJPUGHjBuXScbpbopZvMKKv.jpg,https://image.tmdb.org/t/p/original/oMl3CT8Ggo7coxhyYMULHDQbRE7.jpg,5.0,
Shadows of the West,398007,Ray Taylor,"Whip Wilson, Andy Clyde, Reno Browne, Riley Hill, Bill Kennedy",Phim Miền Tây,59,9.8887,1949,https://image.tmdb.org/t/p/w500/e4kZS1VW2zJBRM4zrzbPbVA0JvO.jpg,https://image.tmdb.org/t/p/original/s3RcdEdSxnTTWMZsWVavPBOq5q6.jpg,0.0,
The Monuments Men,152760,George Clooney,"George Clooney, Matt Damon, Bill Murray, John Goodman, Cate Blanchett","Phim Chiến Tranh, Phim Chính Kịch, Phim Lịch Sử, Phim Hành Động",118,14.357,2014,https://image.tmdb.org/t/p/w500/wiWAg4mKV2S4vImPxsPRIdj2R2B.jpg,https://image.tmdb.org/t/p/original/uLBJtONQwHoGc61vbIfoC6a9gUp.jpg,6.065,
Ma Tốc Độ,1250,Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Wes Bentley, Peter Fonda","Phim Gây Cấn, Phim Hành Động, Phim Giả Tượng",114,11.1015,2007,https://image.tmdb.org/t/p/w500/1pyU94dAY7npDQCKuxCSyX9KthN.jpg,https://image.tmdb.org/t/p/original/qxg6bnwNnOivrY0drBbPVrIAbaH.jpg,5.581,"Jonny là một tay lái mô tô siêu hạng chuyên biểu diễn những pha mạo hiểm trên đường phố. Khi cha mắc bệnh ung thư, anh đành phải ký một bản khế ước với tử thần để cứu mạng cha. Khi màn đêm buông xuống, anh trở thành ma tốc độ với chiếc đầu lâu rực lửa và chiếc mô tô phân khối lớn đi săn tìm văn tự ghi tên các linh hồn nộp cho ác quỷ. Nhưng rồi Jonny bị ác quỷ phản bội, cha anh vẫn chết mà người yêu thì rời xa anh, anh trở thành người đứng giữa cuộc chiến của hai cha con quỷ Mephistopheles."
Phong Thần Đệ Nhị Bộ: Chiến Hỏa Tây Kỳ,1155281,乌尔善,"Hoàng Bột, 于适, 那尔那茜, Trần Mục Trì, Kris Phillips","Phim Hành Động, Phim Giả Tượng, Phim Chiến Tranh",145,14.0032,2025,https://image.tmdb.org/t/p/w500/5bBgvH3hTxlANUsLP1ov0lEKmJp.jpg,https://image.tmdb.org/t/p/original/yujcZMkNKtNXPvRGyTA3e3VCrbx.jpg,6.442,"Thái sư Văn Trung dẫn quân đội nhà Thương gồm Đặng Thiền Vu và bốn vị tướng của gia tộc Mặc tiến vào Tây Kỳ. Với sự giúp đỡ của các vị tiên Côn Lôn như Khương Tử Nha, Cơ Phát đã dẫn dắt quân đội và dân chúng Tây Kỳ bảo vệ quê hương."
Kisame Street,290562,Ading Fernando,"Dolphy, Nida Blanca, Panchito, Rolly Quizon, Georgie Quizon",Phim Hài,0,14.5024,1976,https://image.tmdb.org/t/p/w500/7sOIe17qG0k0xDw2ki6erKcUwC1.jpg,,0.0,
Thanh Gươm Diệt Quỷ: Chuyến Tàu Vô Tận,635302,外崎春雄,"Harae Natsuki, 鬼頭明里, 下野紘, 松岡禎丞, 日野聡","Phim Hoạt Hình, Phim Hành Động, Phim Giả Tượng, Phim Gây Cấn",117,13.7846,2020,https://image.tmdb.org/t/p/w500/2MJz10b6ItzpKm3vb95S3X5Vcna.jpg,https://image.tmdb.org/t/p/original/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg,8.21,"Trên đường điều tra sự mất tích của các Kiếm Sĩ thuộc Đội Diệt Quỷ, Tanjiro và các đồng đội cùng Viêm Trụ Rengoku rơi vào Huyết Quỷ Thuật ảo mộng của Quỷ Hạ Huyền Enmu. Cả bọn phải hiệp lực để bảo toàn tính mạng cho 200 hành khách trên chuyến tàu Vô Tận. Nhờ sự hi sinh của Viêm Trụ Rengoku, Quỷ Hạ Huyền đã bị đánh bại và mọi người được sống sót"
Kỷ Băng Hà,425,Chris Wedge,"Ray Romano, John Leguizamo, Denis Leary, Goran Višnjić, Jack Black","Phim Hoạt Hình, Phim Hài, Phim Gia Đình, Phim Phiêu Lưu",81,15.1606,2002,https://image.tmdb.org/t/p/w500/kFpRkrxfHzQmO4cJaS7PrQEnFRo.jpg,https://image.tmdb.org/t/p/original/8pwIhymsxfAVjrAE7syDjQULn37.jpg,7.366,"Giữa thời điểm sắp chuyển sang chuyển sang kỷ băng giá, mọi con vật đều đi kiếm nơi ấm áp để sống. Manny, Sid, Diego phải theo bước chân con người để đưa 1 cậu bé bị lạc trở về với gia đình...nhưng Diego lại có một âm mưu khác để bắt chú bé đi vì Diego là 1 chú cọp nhận nhiệm vụ bắt sống đứa bé về cho Soto... Nhưng suốt quá trình trải qua những khó khăn cùng nhau 3 người bạn đã có được những tình cảm thật thân thiết để rồi cùng nhau chống lại đàn cọp gian ác."
Tội Phạm Nhân Bản 2049,335984,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas, Dave Bautista, Robin Wright","Phim Khoa Học Viễn Tưởng, Phim Chính Kịch",164,12.5835,2017,https://image.tmdb.org/t/p/w500/gK8fMij79A3k3JiryGKYYHq7hb8.jpg,https://image.tmdb.org/t/p/original/mVr0UiqyltcfqxbAUcLl9zWL8ah.jpg,7.586,"Một chàng trai trẻ khám phá ra bí mật khiến xã hội rơi vào cảnh hỗn mang. Anh lên đường đi tìm một người khác đã mất tích cách đây ba mươi năm, để rồi cả hai cùng bước vào hành trình cứu thế giới. 35 năm sau ngày phần đầu tiên ra mắt, Blade Runner trở lại với những gương mặt mới, câu chuyện mới, đầy hứa hẹn vẫn sẽ giữ được cái “chất” khiến thương hiệu này trở thành tác phẩm kinh điển trong lịch sử điện ảnh. Nhà sản xuất vừa tung ra trailer đầu tiên của phim do bộ đôi Ridley Scott - sản xuất và Denis Villeneuve - đạo diễn với vô số tình tiết bất ngờ có thể hứa hẹn đây là sẽ bom tấn đáng để chúng ta ra rạp thưởng thức. Phim được xem là tác phẩm kinh điển của thể loại khoa học viễn tưởng."
Ziemia obiecana,511,Andrzej Wajda,"Daniel Olbrychski, Wojciech Pszoniak, Andrzej Seweryn, Kalina Jędrusik, Anna Nehrebecka","Phim Chính Kịch, Phim Lịch Sử",179,12.561,1975,https://image.tmdb.org/t/p/w500/uwMs9axSBS0opiO7Ih2J3AjUvMv.jpg,https://image.tmdb.org/t/p/original/xQa198uEb8DLwQntDwO9jlilXcC.jpg,7.282,
Sweet Lavender,1569078,Paul Powell,"Mary Miles Minter, Sylvia Ashton, J.M. Dumont, Starke Patteson, Milton Sills",Phim Chính Kịch,50,29.1293,1920,https://image.tmdb.org/t/p/w500/7GSPKzh6OjUmUoatBYgmD4BilkE.jpg,,0.0,
Nude,484133,Tony Sacco,"David Bellemere, Steve Shaw, Rachel Cook, Jessica Clements, Ebonee Davis",Phim Tài Liệu,89,12.9575,2017,https://image.tmdb.org/t/p/w500/699DbQ8eTecLmzjTLrao9D5bbpq.jpg,https://image.tmdb.org/t/p/original/fx1wiibwJPemUMxmnWDCFzEoVeS.jpg,9.4,
En rade,283452,Alberto Cavalcanti,"Pierre Batcheff, Blanche Bernis, Наталья Лисенко, Thomy Bourdelle, Georges Charlia",Phim Chính Kịch,92,10.8678,1927,https://image.tmdb.org/t/p/w500/ckPdO9lyXy90FBntAc5XM1sR8m5.jpg,https://image.tmdb.org/t/p/original/f0Ttkzwyx5yxCjAiF4bzluoi1Bu.jpg,6.2,
Sant'Agostino,47145,Christian Duguay,"Alessandro Preziosi, Monica Guerritore, Franco Nero, Aglaia Szyszkowitz, Katy Louise Saunders",Phim Chính Kịch,200,13.5243,2010,https://image.tmdb.org/t/p/w500/fexq7cUOGcQMpbNB9GoxX0AD0S3.jpg,https://image.tmdb.org/t/p/original/cUzVbqdFt86ReSxp41O8Gd2Wov5.jpg,5.107,
Furiosa: Câu Chuyện Từ Max Điên,786892,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke, Alyla Browne, George Shevtsov","Phim Hành Động, Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu",149,14.1325,2024,https://image.tmdb.org/t/p/w500/qv5MmEa4ixmOoIdpE2o81t2r0R7.jpg,https://image.tmdb.org/t/p/original/wNAhuOZ3Zf84jCIlrcI6JhgmY5q.jpg,7.5,"Câu chuyện bắt đầu từ lúc Thế giới sụp đổ, Furiosa phải tự cứu lấy mình để trở về nhà. Một cuộc phiêu lưu hành động độc lập khốc liệt, tiền truyện về quái nữ đồng hành với Max Rockatansky."
Royal Opera House: Turandot,386086,Ian Russell,"Lise Lindstrom, Marco Berti, Eri Nakamura, Raymond Aceto, Dionysis Sourbis",Phim Nhạc,125,14.4503,2013,https://image.tmdb.org/t/p/w500/p0yauS9jRLKdrHoyjyjkwplmCt1.jpg,https://image.tmdb.org/t/p/original/7NpktcM6kBSC9BxYrmngx7v9JdA.jpg,0.0,
Alice Ở Xứ Sở Thần Tiên,12155,Tim Burton,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover","Phim Gia Đình, Phim Giả Tượng, Phim Phiêu Lưu",90,14.6235,2010,https://image.tmdb.org/t/p/w500/8bm2xU3V3oMx8ng8vowpyDFZwZn.jpg,https://image.tmdb.org/t/p/original/ocOWbTzHcJVTw9Tz173KPeskDOP.jpg,6.636,"Đã 10 năm kể từ ngày rơi xuống chiếc hố thỏ và lạc vào Xứ Sở Thần Tiên, nay Alice Kingsley trong phim Alice Ở Xứ Sở Thần Tiên đã 19 tuổi và trở thành một thiếu nữ xinh đẹp. Khi bất ngờ bị cầu hôn tại bữa tiệc lớn, cô gái đã bỏ chạy và một lần nữa lạc xuống Xứ Sở Thần Tiên. Xứ Sở Thần Tiên giờ chẳng còn đẹp đẽ như xưa mà đã trở nên điêu tàn dưới bàn tay ngự trị của mụ Nữ Hoàng Đỏ. Dẫu Alice không còn nhớ chút gì về chốn ma mị này, nhưng tất cả những người bạn nơi đây đều vẫn còn nhớ cô gái. Và chính Alice sẽ là người giải cứu tất cả, trả lại sự yên bình cho mảnh đất màu nhiệm này."
Nevermind,571844,Eros Puglielli,"Paolo Sassanelli, Andrea Sartoretti, Giulia Michelini, Massimo Poggio, Alberto Molinari",Phim Hài,110,13.1883,2018,https://image.tmdb.org/t/p/w500/lz0vwuuIUDsLxsMCXGZqrIq0fx7.jpg,https://image.tmdb.org/t/p/original/7N0FS0mPR6xs3p4rSjAzBVVCgg1.jpg,5.0,
Reading Lolita in Tehran,1096846,Eran Riklis,"Golshifteh Farahani, Zar Amir Ebrahimi, Mina Kavani, Bahar Beihaghi, Isabella Nefar",Phim Chính Kịch,108,14.1102,2024,https://image.tmdb.org/t/p/w500/r4f3uSsiTpFFMH0PUiT0gNShqUh.jpg,https://image.tmdb.org/t/p/original/7VaR9bGnX9PSgtiAPl6D5TchWeW.jpg,7.191,
Holiday Harmony,1028935,Shaun Paul Piccinino,"Annelise Cepero, Jeremy Sumpter, Brooke Shields, Carla Jimenez, Lauren Swickard","Phim Lãng Mạn, Phim Hài, Phim Nhạc, Chương Trình Truyền Hình",111,13.3927,2022,https://image.tmdb.org/t/p/w500/5lDOz2zlfiprRYKAWUJRkdSaWhl.jpg,https://image.tmdb.org/t/p/original/5Qtb47jSlBnzeOzIZqMmlRLV63Q.jpg,6.643,
Học Viện Anh Hùng: You're Next,1159311,岡村天斎,"山下大輝, 生見愛瑠, 宮野真守, 三宅健太, 岡本信彦","Phim Hoạt Hình, Phim Hành Động, Phim Phiêu Lưu, Phim Khoa Học Viễn Tưởng",110,14.1336,2024,https://image.tmdb.org/t/p/w500/uRzD5XTqzPxqa9TmZ1mxx0Rm3xd.jpg,https://image.tmdb.org/t/p/original/tUbwMOYP4cuGL1sQ0edz5943rBY.jpg,7.173,"Vào mùa xuân năm thứ hai, trong khi Nhật Bản đang bị tàn phá bởi các cuộc chiến, một người đàn ông bí ẩn bất ngờ xuất hiện có tên là Dark Might. Đối mặt với Deku và những người bạn, hắn tự xưng mình là biểu tượng mới thay thế All Might với tuyên bố hùng hồn: ""Tiếp theo là đến lượt ta!"". Với dã tâm của mình, Dark Might sử dụng năng lực để tạo ra một pháo đài khổng lồ và nhốt người dân cùng anh hùng vào đó. Deku, Bakugo, Todoroki cùng lớp 1-A của trường U.A. dũng cảm đối đầu với Dark Might và tổ chức tội phạm bí ẩn do hắn cầm đầu, mang tên ""Gia đình Gollini"". Liệu họ có thể ngăn chặn tham vọng của biểu tượng mới Dark Might và bảo vệ thế giới?"
Coffee Shop,308143,Dave Alan Johnson,"Laura Vandervoort, Cory M. Grant, Rachel Hendrix, Montrel Miller, Jason Burkey","Phim Lãng Mạn, Phim Hài, Chương Trình Truyền Hình",88,13.3037,2014,https://image.tmdb.org/t/p/w500/8Xf1JWAbnLacGoBRN0rrWunJEaO.jpg,https://image.tmdb.org/t/p/original/ezbQO9y5WT28xHBAXC4BUVMl7Fb.jpg,5.944,
Định Mệnh,16869,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender","Phim Chính Kịch, Phim Gây Cấn, Phim Chiến Tranh",153,14.1224,2009,https://image.tmdb.org/t/p/w500/wi3GRikiYgZ19QoCWlaYEHW2r6M.jpg,https://image.tmdb.org/t/p/original/hwNtEmmugU5Yd7hpfprNWI0DGIn.jpg,8.214,"Vào năm đầu tiên khi Đức Quốc Xã chiếm đóng nước Pháp, Shosanna Dreyfus đã chứng kiến cảnh gia đình mình bị hành quyết trong tay quân đội Đức. Shosanna đã khó khăn lắm mới trốn thoát được và đi đến Paris, thay đổi danh tính, trở thành bà chủ và là người điều hành của một rạp chiếu bóng. Tại một nơi khác ở Châu Âu, trung úy Aldo Raine đã thành lập một nhóm binh lính Mỹ gốc Do Thái tiến hành các cuộc đột kích trả đũa Đức Quốc Xã . Đội quân của Raine kết hợp cùng một nữ diễn viên Đức kiêm điệp viên nằm vùng Bridget von Hammersmark để thi hành điệp vụ lật đổ những thủ lĩnh của Third Reich. Số phận đã đưa họ gặp nhau tại rạp chiếu bóng nơi Shosanna đang làm chủ những kế hoạch cùng với kế hoạch phục thù riêng của cô bắt đầu được tiến hành…"
Deadsight,564176,Jesse Thomas Cook,"Liv Collins, Adam Seybold, Ry Barrett, Jessica Vano, Greg Collins",Phim Kinh Dị,89,13.8401,2018,https://image.tmdb.org/t/p/w500/nsteY7mL4O8whwgHVZs86FS1Emv.jpg,https://image.tmdb.org/t/p/original/j2vB3ao7IDvR4UnCZ0nOcThdV4p.jpg,6.0,
Cuộc Trỗi Dậy,579974,S. S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Olivia Morris, Ray Stevenson, Alison Doody","Phim Hành Động, Phim Phiêu Lưu, Phim Chính Kịch",185,14.3322,2022,https://image.tmdb.org/t/p/w500/sxI1qKDHZRAi2LPmJUPhQ2x1u07.jpg,https://image.tmdb.org/t/p/original/i0Y0wP8H6SRgjr6QmuwbtQbS24D.jpg,7.74,"Trong thời đại của Malli, một cô gái nhỏ ở trong bộ lạc bị thống đốc Anh Scott Buxton và vợ của ông là Catherine bị bắt theo ý muốn của cha mẹ cô. Chính phủ Anh đã phát hiện ra một bộ lạc Komaram Bheem coi Malli là em gái của mình đã bắt đầu cuộc tìm kiếm cô ấy và có thể là một trở ngại cho quân đội của Anh. Một chức vụ đặc biệt cho bất kỳ sĩ quan nào có thể mang Bheem đến cho họ, Rama Raju quyết định nắm giữ mọi việc trong tay và hứa với chính phủ sẽ tìm hiểu xem anh ta còn sống hay chết. Bheem lúc này đã đến thành phố của anh ta để tìm Malli và giả làm thợ máy Afzal trong một vụ tai nạn tàu hỏa trên hồ, anh ta và Rama Raju đã liều mạng cứu một đứa trẻ và trở thành bạn thân của nhau. Nhưng cả hai người sẽ xung đột với nhau và cuối cùng hợp tác với nhau để hoàn thành nhiệm vụ"
Đồng Phạm Bất Đắc Dĩ,1245993,Darren Aronofsky,"Austin Butler, Regina King, Zoë Kravitz, Matt Smith, Liev Schreiber","Phim Hình Sự, Phim Gây Cấn, Phim Hài",107,13.2565,2025,https://image.tmdb.org/t/p/w500/cvda8s5J8YaHjTyEyXQpvD6f3iV.jpg,https://image.tmdb.org/t/p/original/41043LV7mfluH8iXEUPVseCDAv5.jpg,6.903,"Phim Caught Stealing (2025) kể về Hank Thompson – cựu sao bóng chày sa sút, nay làm bartender ở New York. Khi anh nhận trông mèo giúp người hàng xóm, Hank bất ngờ bị lôi vào vòng xoáy tội phạm với mafia, cảnh sát tham nhũng và những kẻ săn lùng kho báu bí mật. Mất mát đau thương buộc Hank phải phản kháng dữ dội, biến từ kẻ bị hại thành kẻ trả thù để giành lại"
Người Nhện Siêu Đẳng 2,102382,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Colm Feore","Phim Hành Động, Phim Phiêu Lưu, Phim Khoa Học Viễn Tưởng",141,14.9524,2014,https://image.tmdb.org/t/p/w500/dKOOKXgzCO7zh9meehGLxdWvpQY.jpg,https://image.tmdb.org/t/p/original/k0hlAzTryCYX1O1LyC6P8tAa8s0.jpg,6.524,"“Mỗi ngày tôi thức dậy và biết rằng, tôi càng cố cứu thêm nhiều người, có nghĩa tôi đang tạo ra nhiều kẻ thù hơn. Và đó chỉ là vấn đề thời gian, khi tôi phải đối mặt với những kẻ thù mạnh hơn mà tôi không thể đánh bại” – Câu nói của Người nhện báo trước cho sự xuất hiện của một loạt những kẻ thù nguy hiểm mà cậu sẽ phải đối đầu trong phần phim tiếp theo. Ngoài Electro (Jamie Foxx) đã xuất hiện trong đoạn teaser trước đây, người hùng giấu mặt Peter Parker sẽ phải chiến đấu chống lại Rhino (Paul Giamatti) và Green Goblin (Dane DeHaan)."
Ông Trùm Mặt Sẹo,111,Brian De Palma,"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia","Phim Hành Động, Phim Hình Sự, Phim Chính Kịch",170,13.7139,1983,https://image.tmdb.org/t/p/w500/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,https://image.tmdb.org/t/p/original/sctvs9cUwJD15qlTlrsh2BXsK75.jpg,8.159,"125 nghìn người tị nạn ở Cuba được nhập cảnh Mỹ và đoàn tụ với người thân. Trong đám đông đó, Tony Montana lại nuôi tham vọng khác. Từ một gã tay chân cho băng đảng và bắt đầu dấn thân vào con đường tăm tối, Tony ngày càng bị cơn khát quyền lực dằn vặt, ngay cả khi đã trở thành ông trùm."
Thế Giới Khủng Long: Lãnh Địa,507086,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill, Jeff Goldblum","Phim Phiêu Lưu, Phim Hành Động, Phim Khoa Học Viễn Tưởng",147,13.011,2022,https://image.tmdb.org/t/p/w500/cjb9NXJvisfh5fmgX9rerxZfFrJ.jpg,https://image.tmdb.org/t/p/original/9eAn20y26wtB3aet7w9lHjuSgZ3.jpg,6.631,"Bốn năm sau kết thúc Jurassic World: Fallen Kingdom, những con khủng long đã thoát khỏi nơi giam cầm và tiến vào thế giới loài người. Giờ đây, chúng xuất hiện ở khắp mọi nơi. Sinh vật to lớn ấy không còn chỉ ở trên đảo như trước nữa mà gần ngay trước mắt, thậm chí còn có thể chạm tới. Owen Grady may mắn gặp lại cô khủng long mà anh và khán giả vô cùng yêu mến - Blue. Tuy nhiên, Blue không đi một mình mà còn đem theo một chú khủng long con khác. Điều này khiến Owen càng quyết tâm bảo vệ mẹ con cô được sinh sống an toàn. Thế nhưng, hai giống loài quá khác biệt. Liệu có thể tồn tại một kỷ nguyên mà khủng long và con người sống chung một cách hòa bình?"
Dead Cert,46202,Steven Lawson,"Craig Fairbrass, Dexter Fletcher, Lisa McAllister, Janet Montgomery, Billy Murray","Phim Gây Cấn, Phim Kinh Dị, Phim Hành Động",92,14.2184,2010,https://image.tmdb.org/t/p/w500/4TmJC6vjuTLy3D7QX1tVyiW026J.jpg,https://image.tmdb.org/t/p/original/mK2FQ6JVAS2BZ532fpcvgjN8i4F.jpg,4.3,
Vệ Binh Dải Ngân Hà 3,447365,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Karen Gillan, Pom Klementieff","Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu, Phim Hành Động, Phim Hài",150,13.0016,2023,https://image.tmdb.org/t/p/w500/Ak5hAxorxMpxKoVw5e3kGfxs7sY.jpg,https://image.tmdb.org/t/p/original/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,7.933,"Cho dù vũ trụ này có bao la đến đâu, các Vệ Binh của chúng ta cũng không thể trốn chạy mãi mãi."
Enuguthondam Ghatikachalam,1579744,Ravi Babu,"Naresh, Varshini Sounderajan, Raghu Babu, Ali Basha","Phim Hài, Phim Chính Kịch",114,14.7559,2025,https://image.tmdb.org/t/p/w500/sBjt3Y54MUPyzwhOrWTl5al7Wsm.jpg,https://image.tmdb.org/t/p/original/aVjicr1NYKUEMUYJWVFQdHUaOSm.jpg,0.0,
En kärlekshistoria,31304,Roy Andersson,"Rolf Sohlman, Ann-Sofie Kylin, Bertil Norström, Lennart Tellfelt, Anita Lindblom","Phim Chính Kịch, Phim Lãng Mạn",115,11.655,1970,https://image.tmdb.org/t/p/w500/p12FTNVU81gfFJf1A28pzW631ED.jpg,https://image.tmdb.org/t/p/original/hdX3esdD6u0gUdU1oSAaNMFlFQk.jpg,7.019,
Sum Họp Kiểu Mỹ,71552,Jon Hurwitz,"Jason Biggs, Alyson Hannigan, Seann William Scott, Chris Klein, Thomas Ian Nicholas",Phim Hài,114,14.4032,2012,https://image.tmdb.org/t/p/w500/de5QBIdVR4dnkBZ4a0zjkS4lTg.jpg,https://image.tmdb.org/t/p/original/6YOTQGsF0e9IL1DDwM9zB2NDm4I.jpg,6.3,"Bánh Mỹ thật sự đã trở lại với dàn diễn viên chủ lực từng làm nên thành công cho loạt film này từ phần 1-2-3. Lần này nhóm cựu học sinh Jim, Michelle, Stifler cùng các người bạn của họ lại tề tựu về trường trung học East Great Falls, Michigan để dự buổi họp mặt cựu học sinh và quậy 1 trận ra trò theo đúng phong cách Bánh Mỹ.Mặc dù vẫn sẽ giữ nguyên chất hài đặc trưng như các phần phim trước, nhưng bài học giới tính trong American Reunion không còn được đưa đến trực tiếp theo góc nhìn từ tuổi mới lớn, mà được lồng ghép vào trong những ký ức, hoài niệm thời thơ ấu, cộng thêm những câu chuyện ""dở khóc dở cười"" của đám bạn bè lâu năm mới có dịp tái ngộ này."
Tuntematon sotilas,36439,Edvin Laine,"Kosti Klemelä, Heikki Savolainen, Reino Tolvanen, Veikko Sinisalo, Åke Lindman","Phim Chính Kịch, Phim Chiến Tranh",181,13.5175,1955,https://image.tmdb.org/t/p/w500/zrlIkD5mdvYUVa6ljjrqunwBzTb.jpg,https://image.tmdb.org/t/p/original/25hJTjExgVWI4DbybpAms4X3tQa.jpg,7.333,
Hoàng Đế Lạc Đà,11688,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick","Phim Phiêu Lưu, Phim Hoạt Hình, Phim Hài, Phim Gia Đình, Phim Giả Tượng",78,13.0841,2000,https://image.tmdb.org/t/p/w500/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg,https://image.tmdb.org/t/p/original/mZj8EUr6F1x2PWZjKPxaeYd5WRw.jpg,7.557,"Hoàng Đế Kuzco, trẻ tuổi, kinh nghiệm sống ít ỏi nhưng bản tính hiếu thắng, ngạo mạn ích kỷ, ham chơi nên không được lòng thần dân. Hoàng Đế muốn xây 1 bể bơi mùa hè ở trên 1 chóp đồi xinh đẹp để làm quà sinh nhật 18 tuổi cho mình. Nhưng vấp phải sự phản đối dữ dội của bác trưởng làng Pacha và âm mưu giết người cướp ngai vàng mụ phù thủy độc ác Yzma. Hoàng Đế sẽ phải làm gì để chống lại ""thù trong giặc ngoài""?"
Bí Mật Sau Bữa Tiệc,1126336,Jan Komasa,"Diane Lane, Kyle Chandler, Madeline Brewer, Zoey Deutch, Mckenna Grace","Phim Gây Cấn, Phim Chính Kịch",111,16.2328,2025,https://image.tmdb.org/t/p/w500/tCLn5DyGjRwZiSX4ABCxpZS4QvM.jpg,https://image.tmdb.org/t/p/original/8XSUJONqvG4vHpfwy0L58TLingc.jpg,6.265,
